institute,status,assets_brought,attended_before,nickname,ping_pong,basketball,running_sprints,volleyball,football,tennis,badminton,spikeball,chess,capture_the_flag,beer_pong,foosball,ping_pong_days,num_sports,late_entry,has_paid_fee,confirmation_status
ESO,PhD,No :/,False,Comfortable Dunker,False,False,False,True,True,False,False,False,False,True,False,False,[],3,False,True,False
MPE,PhD,Table Tennis racket,True,Monstrous Jackal,True,False,False,True,False,True,True,False,False,False,False,False,"['monday', 'wednesday']",4,False,True,False
MPE,PhD,"2 Spikeball Sets, 2 Tennis Rackets/Balls",True,Pushy Bulldog,True,False,False,True,True,True,False,True,False,True,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,True,False
MPE,PhD,badminton rackets,True,Animated Yak,True,False,False,True,False,True,False,True,False,False,True,True,"['monday', 'tuesday', 'wednesday', 'friday']",6,False,False,False
MPA,PhD,I could bring some badminton shuttles. ,False,Arctic Milkfish,False,False,False,False,False,True,True,False,False,True,False,False,[],3,False,False,False
USM/LMU,PostDoc,"I have a cheap volleyball and a volleyball net for on the grass, but I'm not sure if it is the standard size.",False,Sour Sturgeon,True,False,False,True,False,False,False,False,False,False,False,False,['tuesday'],2,False,True,False
USM/LMU,PhD,Basketball,True,Real Mouse,True,True,False,False,False,False,True,True,False,True,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",5,False,True,False
ESO,PostDoc,No :(,True,Unwritten Saiga,False,False,False,True,False,False,False,False,False,False,False,True,[],2,False,False,False
MPE,PhD,spikeball set,True,Thankful Kakapo,True,False,False,True,True,False,False,True,False,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,True,False
USM/LMU,PhD,Basketball,True,Blank Tiffany,True,True,False,False,False,False,False,False,False,False,False,False,['tuesday'],2,False,False,False
USM/LMU,PhD,no,True,Awkward Cichlid,True,False,False,False,True,False,False,True,True,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",4,False,True,False
IPP,PhD,,True,Grouchy Mole,True,False,False,True,False,False,False,False,False,False,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,True,False
IPP,PostDoc,,True,Trifling Tarpon,True,False,False,True,True,False,False,False,True,False,False,False,"['monday', 'tuesday', 'thursday']",4,False,True,False
MPA,PhD,,True,Dishonest Fangtooth,True,True,False,False,True,True,False,True,True,True,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",8,False,True,False
IPP,PhD,,False,Nervous Badger,False,False,False,False,True,False,False,False,False,False,False,False,[],1,False,False,False
MPE,PhD,,True,Ignorant Lemur,True,False,False,False,False,False,False,True,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'friday']",2,False,True,False
IPP,PhD,,False,Direct Baboon,False,True,False,False,False,False,False,True,False,False,True,False,[],3,False,True,False
IPP,PhD,,True,Sharp Gharial,True,False,True,False,False,False,False,False,True,True,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",5,False,False,False
MPA,PhD,,True,Ornate Cockatoo,False,False,False,False,False,False,False,False,True,False,False,False,[],1,False,True,False
MPE,Other,,True,Probable Herring,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,True,False
IPP,PostDoc,"Beachvolley ball, basketball ball",True,Affectionate Chihuahua,False,True,False,True,False,False,False,True,False,False,False,False,[],3,False,False,False
IPP,PostDoc,,False,Delectable Peacock,False,False,False,False,False,False,False,False,True,False,False,True,[],2,False,True,False
MPE,PhD,Basketball,False,Near Ladybug,False,True,False,False,False,True,False,True,False,False,True,False,[],4,False,True,False
MPE,PhD,,True,Striped Himalayan,True,False,True,False,False,True,True,False,False,True,True,False,"['tuesday', 'wednesday', 'thursday', 'friday']",6,False,True,False
MPE,PostDoc,,True,Leafy Dingo,True,False,False,True,False,False,False,True,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",3,False,True,False
IPP,PhD,,True,Infantile Chinchilla,False,False,False,False,True,False,True,False,False,False,False,False,[],2,False,True,False
IPP,PostDoc,,True,Noted Hippopotamus,True,False,False,False,False,False,False,True,False,False,False,False,"['wednesday', 'friday']",2,False,True,False
IPP,PhD,,True,Overjoyed Tapir,False,True,False,False,False,False,False,False,False,False,False,False,[],1,False,True,False
USM/LMU,PhD,,True,Motherly Woodpecker,True,False,True,False,True,False,True,False,False,True,False,False,"['monday', 'tuesday', 'wednesday', 'thursday']",5,False,False,False
USM/LMU,PostDoc,Badminton rackets + shuttles,True,Spanish Ferret,True,True,False,False,False,False,True,False,True,False,False,False,['friday'],4,False,True,False
MPE,PhD,Ping pong rackets,False,Pink Narwhal,True,False,False,False,False,False,False,False,False,True,True,True,"['tuesday', 'wednesday', 'thursday', 'friday']",4,False,True,False
MPP,PhD,Volleyball,False,Good Dolphin,True,False,False,True,False,False,True,True,False,True,True,False,"['tuesday', 'friday']",6,False,True,False
MPA,PhD,,False,Hairy Donkey,True,False,True,False,False,False,True,False,True,False,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",5,False,True,False
ESO,PhD,,False,Liquid Lamprey,False,False,False,True,False,False,True,False,False,False,False,True,[],3,False,False,False
USM/LMU,PhD,,True,Trivial Uguisu,True,False,False,True,False,False,True,False,True,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday']",7,False,False,False
MPA,PhD,Badminton racket - 1,False,Deserted Chimpanzee,True,False,False,False,False,False,True,False,False,True,True,True,"['monday', 'wednesday', 'thursday', 'friday']",5,False,True,False
IPP,Other,,True,Delirious Robin,False,False,False,False,True,False,False,False,False,False,True,False,[],2,False,False,False
MPE,PhD,No :c,True,Sneaky Quokka,False,True,False,True,False,False,True,False,False,False,False,False,[],3,False,False,False
ESO,PostDoc,,True,Frayed Barb,False,False,True,False,False,False,False,False,False,True,False,True,[],3,False,True,False
MPE,PostDoc,A basketball ,True,Alarmed Bird,False,True,True,False,False,False,False,False,False,False,False,False,[],2,False,True,False
MPP,PhD,,False,Edible Bloodhound,False,False,False,True,True,False,False,False,False,False,True,False,[],3,False,True,False
ESO,PhD,,False,Unfortunate Salamander,False,False,False,True,False,False,False,False,False,False,False,False,[],1,False,True,False
MPE,Other,1x Volleyball,True,Tender Chimaera,True,False,False,True,False,False,False,False,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",2,False,False,False
MPE,Other,,True,Flamboyant Lungfish,True,False,False,True,True,False,True,False,False,False,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",4,False,False,False
